feature_name,source_table,calculation,temporal_window,leakage_status,feature_family
sport,athlete_metadata,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Static Anthropometric
age,athlete_metadata,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Static Anthropometric
gender,athlete_metadata,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Static Anthropometric
height_cm,athlete_metadata,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Static Anthropometric
weight_kg_baseline,athlete_metadata,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Static Anthropometric
dominant_side,athlete_metadata,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Static Anthropometric
years_playing,athlete_metadata,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Static Anthropometric
position,athlete_metadata,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Static Anthropometric
prior_season_injury_count,athlete_metadata,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Static Anthropometric
steps_mean_30d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Workload Dynamics & ACWR
steps_std_30d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Workload Dynamics & ACWR
steps_max_30d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Workload Dynamics & ACWR
steps_min_30d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Workload Dynamics & ACWR
calories_mean_30d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Workload Dynamics & ACWR
calories_std_30d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Workload Dynamics & ACWR
very_active_mean_30d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Workload Dynamics & ACWR
very_active_std_30d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Workload Dynamics & ACWR
sedentary_mean_30d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Workload Dynamics & ACWR
fairly_active_mean_30d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Workload Dynamics & ACWR
lightly_active_mean_30d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Workload Dynamics & ACWR
steps_mean_7d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Workload Dynamics & ACWR
calories_mean_7d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Workload Dynamics & ACWR
very_active_mean_7d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Workload Dynamics & ACWR
steps_mean_3d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Workload Dynamics & ACWR
very_active_mean_3d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Workload Dynamics & ACWR
steps_acwr_7_30,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Workload Dynamics & ACWR
very_active_acwr_7_30,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Workload Dynamics & ACWR
calories_acwr_7_30,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Workload Dynamics & ACWR
steps_ratio_3_7,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Workload Dynamics & ACWR
very_active_ratio_3_7,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Workload Dynamics & ACWR
steps_delta_7_30,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Workload Dynamics & ACWR
steps_cv_30d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Workload Dynamics & ACWR
workload_monotony,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Workload Dynamics & ACWR
workload_strain,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Workload Dynamics & ACWR
sleep_min_mean_30d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Sleep Architecture
sleep_min_std_30d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Sleep Architecture
sleep_min_min_30d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Sleep Architecture
sleep_min_max_30d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Sleep Architecture
sleep_min_mean_7d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Sleep Architecture
sleep_min_mean_3d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Sleep Architecture
sleep_eff_mean_30d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Sleep Architecture
sleep_eff_std_30d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Sleep Architecture
sleep_deficit_mean_30d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Sleep Architecture
sleep_deficit_mean_7d,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Sleep Architecture
sleep_ratio_7_30,multi_modal_merged,Derived calculation as described in pipeline,Historical (2026-01-05 to 2026-02-03),Definitely Safe (Strict Filter Date <= 2026-02-03),Sleep Architecture
